Channel,Region,Category,Value
2,3,Fresh,12669
2,3,Fresh,7057
2,3,Fresh,6353
1,3,Fresh,13265
2,3,Fresh,22615
2,3,Fresh,9413
2,3,Fresh,12126
2,3,Fresh,7579
1,3,Fresh,5963
2,3,Fresh,6006
2,3,Fresh,3366
2,3,Fresh,13146
2,3,Fresh,31714
2,3,Fresh,21217
2,3,Fresh,24653
1,3,Fresh,10253
2,3,Fresh,1020
1,3,Fresh,5876
2,3,Fresh,18601
1,3,Fresh,7780
2,3,Fresh,17546
1,3,Fresh,5567
1,3,Fresh,31276
2,3,Fresh,26373
2,3,Fresh,22647
2,3,Fresh,16165
1,3,Fresh,9898
1,3,Fresh,14276
2,3,Fresh,4113
1,3,Fresh,43088
1,3,Fresh,18815
1,3,Fresh,2612
1,3,Fresh,21632
1,3,Fresh,29729
1,3,Fresh,1502
2,3,Fresh,688
1,3,Fresh,29955
2,3,Fresh,15168
2,3,Fresh,4591
1,3,Fresh,56159
1,3,Fresh,24025
1,3,Fresh,19176
2,3,Fresh,10850
2,3,Fresh,630
2,3,Fresh,9670
2,3,Fresh,5181
2,3,Fresh,3103
2,3,Fresh,44466
2,3,Fresh,11519
2,3,Fresh,4967
1,3,Fresh,6269
1,3,Fresh,3347
2,3,Fresh,40721
2,3,Fresh,491
1,3,Fresh,27329
1,3,Fresh,5264
2,3,Fresh,4098
2,3,Fresh,5417
1,3,Fresh,13779
1,3,Fresh,6137
2,3,Fresh,8590
2,3,Fresh,35942
2,3,Fresh,7823
2,3,Fresh,9396
1,3,Fresh,4760
2,3,Fresh,85
1,3,Fresh,9
2,3,Fresh,19913
1,3,Fresh,2446
1,3,Fresh,8352
1,3,Fresh,16705
1,3,Fresh,18291
1,3,Fresh,4420
2,3,Fresh,19899
2,3,Fresh,8190
1,3,Fresh,20398
1,3,Fresh,717
2,3,Fresh,12205
1,3,Fresh,10766
1,3,Fresh,1640
1,3,Fresh,7005
2,3,Fresh,219
2,3,Fresh,10362
1,3,Fresh,20874
2,3,Fresh,11867
2,3,Fresh,16117
2,3,Fresh,22925
1,3,Fresh,43265
1,3,Fresh,7864
1,3,Fresh,24904
1,3,Fresh,11405
1,3,Fresh,12754
2,3,Fresh,9198
1,3,Fresh,11314
2,3,Fresh,5626
1,3,Fresh,3
2,3,Fresh,23
1,3,Fresh,403
1,3,Fresh,503
1,3,Fresh,9658
2,3,Fresh,11594
2,3,Fresh,1420
2,3,Fresh,2932
1,3,Fresh,56082
1,3,Fresh,14100
1,3,Fresh,15587
2,3,Fresh,1454
2,3,Fresh,8797
2,3,Fresh,1531
2,3,Fresh,1406
1,3,Fresh,11818
2,3,Fresh,12579
1,3,Fresh,19046
1,3,Fresh,14438
1,3,Fresh,18044
1,3,Fresh,11134
1,3,Fresh,11173
1,3,Fresh,6990
1,3,Fresh,20049
1,3,Fresh,8258
1,3,Fresh,17160
1,3,Fresh,4020
1,3,Fresh,12212
2,3,Fresh,11170
1,3,Fresh,36050
1,3,Fresh,76237
1,3,Fresh,19219
2,3,Fresh,21465
1,3,Fresh,140
1,3,Fresh,42312
1,3,Fresh,7149
1,3,Fresh,2101
1,3,Fresh,14903
1,3,Fresh,9434
1,3,Fresh,7388
1,3,Fresh,6300
1,3,Fresh,4625
1,3,Fresh,3087
1,3,Fresh,13537
1,3,Fresh,5387
1,3,Fresh,17623
1,3,Fresh,30379
1,3,Fresh,37036
1,3,Fresh,10405
1,3,Fresh,18827
2,3,Fresh,22039
1,3,Fresh,7769
1,3,Fresh,9203
1,3,Fresh,5924
1,3,Fresh,31812
1,3,Fresh,16225
1,3,Fresh,1289
1,3,Fresh,18840
1,3,Fresh,3463
1,3,Fresh,622
2,3,Fresh,1989
2,3,Fresh,3830
1,3,Fresh,17773
2,3,Fresh,2861
2,3,Fresh,355
2,3,Fresh,1725
1,3,Fresh,12434
1,3,Fresh,15177
2,3,Fresh,5531
2,3,Fresh,5224
2,3,Fresh,15615
2,3,Fresh,4822
1,3,Fresh,2926
1,3,Fresh,5809
1,3,Fresh,5414
2,3,Fresh,260
2,3,Fresh,200
1,3,Fresh,955
2,3,Fresh,514
1,3,Fresh,286
2,3,Fresh,2343
1,3,Fresh,45640
1,3,Fresh,12759
1,3,Fresh,11002
